Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,811,Directly funded,Y,9,12,403,236,58.60%,299,74.20%,381,221,58.00%,283,74.30%,Y
2016-2017,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Yes,1284,Directly funded,Y,K,8,208,110,52.90%,134,64.40%,199,104,52.30%,126,63.30%,Y
2016-2017,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,357,28,7.80%,33,9.20%,357,28,7.80%,33,9.20%,Y
2016-2017,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,374,87,23.30%,102,27.30%,364,86,23.60%,100,27.50%,Y
2016-2017,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,99,99,100.00%,99,100.00%,96,96,100.00%,96,100.00%,Y
2016-2017,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,K,12,242,183,75.60%,197,81.40%,189,141,74.60%,151,79.90%,Y
2016-2017,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1707,Directly funded,Y,6,8,149,120,80.50%,142,95.30%,149,120,80.50%,142,95.30%,Y
2016-2017,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,740,Directly funded,Y,P,5,588,232,39.50%,232,39.50%,572,227,39.70%,227,39.70%,Y
2016-2017,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1464,Directly funded,Y,K,8,462,320,69.30%,387,83.80%,449,310,69.00%,377,84.00%,Y
2016-2017,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,No ,,,N,1,Adult,39,39,100.00%,39,100.00%,34,34,100.00%,34,100.00%,Y
2016-2017,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,No ,,,N,P,12,380,357,93.90%,357,93.90%,307,285,92.80%,285,92.80%,Y
2016-2017,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,31,5,16.10%,6,19.40%,28,5,17.90%,6,21.40%,Y
2016-2017,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,183,30,16.40%,40,21.90%,179,29,16.20%,38,21.20%,Y
2016-2017,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,483,267,55.30%,313,64.80%,483,267,55.30%,313,64.80%,Y
2016-2017,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,1066,Directly funded,Y,K,12,528,144,27.30%,166,31.40%,524,142,27.10%,164,31.30%,Y
2016-2017,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,1181,Directly funded,Y,6,8,511,159,31.10%,177,34.60%,511,159,31.10%,177,34.60%,Y
2016-2017,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,8,328,73,22.30%,91,27.70%,328,73,22.30%,91,27.70%,Y
2016-2017,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1786,282,15.80%,338,18.90%,1714,267,15.60%,321,18.70%,Y
2016-2017,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,352,Directly funded,Y,6,12,374,80,21.40%,88,23.50%,364,79,21.70%,87,23.90%,Y
2016-2017,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Yes,398,Directly funded,Y,9,12,171,152,88.90%,166,97.10%,144,128,88.90%,140,97.20%,Y
2016-2017,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Yes,1718,Directly funded,Y,K,5,134,54,40.30%,61,45.50%,133,53,39.80%,60,45.10%,Y
2016-2017,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,,No ,,,N,6,12,1343,476,35.40%,549,40.90%,1302,457,35.10%,527,40.50%,Y
2016-2017,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,128,55,43.00%,55,43.00%,97,35,36.10%,35,36.10%,Y
2016-2017,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,498,108,21.70%,128,25.70%,480,107,22.30%,127,26.50%,Y
2016-2017,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,452,44,9.70%,51,11.30%,452,44,9.70%,51,11.30%,Y
2016-2017,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,582,64,11.00%,85,14.60%,582,64,11.00%,85,14.60%,Y
2016-2017,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,338,43,12.70%,53,15.70%,338,43,12.70%,53,15.70%,Y
2016-2017,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,440,189,43.00%,232,52.70%,416,180,43.30%,223,53.60%,Y
2016-2017,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,833,87,10.40%,116,13.90%,833,87,10.40%,116,13.90%,Y
2016-2017,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,510,199,39.00%,232,45.50%,510,199,39.00%,232,45.50%,Y
2016-2017,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,301,117,38.90%,139,46.20%,288,114,39.60%,135,46.90%,Y
2016-2017,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,610,46,7.50%,54,8.90%,600,45,7.50%,53,8.80%,Y
2016-2017,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,637,50,7.80%,59,9.30%,637,50,7.80%,59,9.30%,Y
2016-2017,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2016-2017,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,7,2,28.60%,3,42.90%,7,2,28.60%,3,42.90%,Y
2016-2017,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1164,149,12.80%,212,18.20%,1138,143,12.60%,203,17.80%,Y
2016-2017,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,544,46,8.50%,61,11.20%,544,46,8.50%,61,11.20%,Y
2016-2017,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,919,94,10.20%,141,15.30%,919,94,10.20%,141,15.30%,Y
2016-2017,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,505,46,9.10%,60,11.90%,505,46,9.10%,60,11.90%,Y
2016-2017,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,560,131,23.40%,164,29.30%,543,126,23.20%,159,29.30%,Y
2016-2017,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,14,2,14.30%,2,14.30%,12,2,16.70%,2,16.70%,Y
2016-2017,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,1254,Directly funded,Y,6,8,249,136,54.60%,175,70.30%,249,136,54.60%,175,70.30%,Y
2016-2017,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,,Yes,1255,Directly funded,Y,9,12,347,201,57.90%,229,66.00%,338,198,58.60%,226,66.90%,Y
2016-2017,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3018,684,22.70%,841,27.90%,2916,650,22.30%,803,27.50%,Y
2016-2017,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,62,36,58.10%,41,66.10%,52,30,57.70%,33,63.50%,Y
2016-2017,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1022,217,21.20%,268,26.20%,1022,217,21.20%,268,26.20%,Y
2016-2017,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,592,189,31.90%,242,40.90%,592,189,31.90%,242,40.90%,Y
2016-2017,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,445,101,22.70%,114,25.60%,445,101,22.70%,114,25.60%,Y
2016-2017,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,394,110,27.90%,135,34.30%,394,110,27.90%,135,34.30%,Y
2016-2017,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,304,104,34.20%,115,37.80%,304,104,34.20%,115,37.80%,Y
2016-2017,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,407,103,25.30%,119,29.20%,407,103,25.30%,119,29.20%,Y
2016-2017,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,367,112,30.50%,148,40.30%,347,106,30.50%,141,40.60%,Y
2016-2017,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,554,118,21.30%,139,25.10%,531,115,21.70%,135,25.40%,Y
2016-2017,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,514,271,52.70%,302,58.80%,514,271,52.70%,302,58.80%,Y
2016-2017,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,301,85,28.20%,105,34.90%,301,85,28.20%,105,34.90%,Y
2016-2017,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,427,161,37.70%,195,45.70%,427,161,37.70%,195,45.70%,Y
2016-2017,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,483,141,29.20%,164,34.00%,471,136,28.90%,157,33.30%,Y
2016-2017,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,437,115,26.30%,139,31.80%,437,115,26.30%,139,31.80%,Y
2016-2017,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,302,98,32.50%,120,39.70%,302,98,32.50%,120,39.70%,Y
2016-2017,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,12,3,25.00%,3,25.00%,11,3,27.30%,3,27.30%,Y
2016-2017,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,9,12,26,4,15.40%,4,15.40%,0,0,0.00%,0,0.00%,Y
2016-2017,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2920,457,15.70%,643,22.00%,2861,438,15.30%,621,21.70%,Y
2016-2017,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,,No ,,,N,K,12,6,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,Y
2016-2017,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,117,39,33.30%,42,35.90%,113,38,33.60%,41,36.30%,Y
2016-2017,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,478,157,32.80%,201,42.10%,452,156,34.50%,199,44.00%,Y
2016-2017,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,469,70,14.90%,98,20.90%,469,70,14.90%,98,20.90%,Y
2016-2017,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,784,126,16.10%,178,22.70%,784,126,16.10%,178,22.70%,Y
2016-2017,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,656,80,12.20%,100,15.20%,627,80,12.80%,100,15.90%,Y
2016-2017,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,475,121,25.50%,161,33.90%,475,121,25.50%,161,33.90%,Y
2016-2017,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,143,15,10.50%,16,11.20%,143,15,10.50%,16,11.20%,Y
2016-2017,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,490,49,10.00%,74,15.10%,490,49,10.00%,74,15.10%,Y
2016-2017,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,457,102,22.30%,144,31.50%,445,98,22.00%,140,31.50%,Y
2016-2017,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,464,56,12.10%,68,14.70%,464,56,12.10%,68,14.70%,Y
2016-2017,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1436,245,17.10%,323,22.50%,1436,245,17.10%,323,22.50%,Y
2016-2017,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,425,20,4.70%,27,6.40%,425,20,4.70%,27,6.40%,Y
2016-2017,1,61168,1,Alameda,Emery Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2016-2017,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,177,98,55.40%,122,68.90%,174,97,55.70%,121,69.50%,Y
2016-2017,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,508,295,58.10%,358,70.50%,503,293,58.30%,355,70.60%,Y
2016-2017,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,39,6,15.40%,6,15.40%,32,6,18.80%,6,18.80%,Y
2016-2017,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,9,12,33,1,3.00%,1,3.00%,1,1,100.00%,1,100.00%,Y
2016-2017,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2200,286,13.00%,367,16.70%,2164,274,12.70%,351,16.20%,Y
2016-2017,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,161,65,40.40%,72,44.70%,129,50,38.80%,56,43.40%,Y
2016-2017,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,7,12,31,9,29.00%,9,29.00%,30,9,30.00%,9,30.00%,Y
2016-2017,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Yes,152,Locally funded,N,K,12,339,40,11.80%,54,15.90%,329,40,12.20%,54,16.40%,Y
2016-2017,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2249,220,9.80%,270,12.00%,2217,212,9.60%,262,11.80%,Y
2016-2017,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1385,385,27.80%,522,37.70%,1346,373,27.70%,506,37.60%,Y
2016-2017,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2003,59,2.90%,73,3.60%,1987,56,2.80%,69,3.50%,Y
2016-2017,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1897,330,17.40%,422,22.20%,1847,318,17.20%,409,22.10%,Y
2016-2017,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,435,125,28.70%,169,38.90%,427,125,29.30%,169,39.60%,Y
2016-2017,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,743,215,28.90%,277,37.30%,719,212,29.50%,272,37.80%,Y
2016-2017,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,448,159,35.50%,208,46.40%,448,159,35.50%,208,46.40%,Y
2016-2017,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,476,160,33.60%,222,46.60%,476,160,33.60%,222,46.60%,Y
2016-2017,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,653,167,25.60%,204,31.20%,653,167,25.60%,204,31.20%,Y
2016-2017,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,485,74,15.30%,106,21.90%,471,74,15.70%,105,22.30%,Y
2016-2017,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,616,154,25.00%,196,31.80%,602,153,25.40%,194,32.20%,Y
2016-2017,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,3,902,14,1.60%,21,2.30%,874,13,1.50%,20,2.30%,Y
2016-2017,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,641,89,13.90%,134,20.90%,640,89,13.90%,134,20.90%,Y
2016-2017,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,573,101,17.60%,124,21.60%,562,101,18.00%,124,22.10%,Y
2016-2017,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,630,72,11.40%,80,12.70%,630,72,11.40%,80,12.70%,Y
2016-2017,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,677,36,5.30%,45,6.60%,677,36,5.30%,45,6.60%,Y
2016-2017,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,579,46,7.90%,59,10.20%,579,46,7.90%,59,10.20%,Y
2016-2017,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,563,101,17.90%,114,20.20%,561,101,18.00%,114,20.30%,Y
2016-2017,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,903,47,5.20%,68,7.50%,854,42,4.90%,62,7.30%,Y
2016-2017,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,635,125,19.70%,161,25.40%,635,125,19.70%,161,25.40%,Y
2016-2017,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,526,90,17.10%,117,22.20%,513,90,17.50%,117,22.80%,Y
2016-2017,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,3,6,1109,54,4.90%,65,5.90%,1109,54,4.90%,65,5.90%,Y
2016-2017,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,948,205,21.60%,266,28.10%,948,205,21.60%,266,28.10%,Y
2016-2017,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,691,225,32.60%,293,42.40%,691,225,32.60%,293,42.40%,Y
2016-2017,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,1199,108,9.00%,141,11.80%,1199,108,9.00%,141,11.80%,Y
2016-2017,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,1278,161,12.60%,206,16.10%,1278,161,12.60%,206,16.10%,Y
2016-2017,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,1119,42,3.80%,54,4.80%,1119,42,3.80%,54,4.80%,Y
2016-2017,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,756,26,3.40%,37,4.90%,721,24,3.30%,35,4.90%,Y
2016-2017,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,673,58,8.60%,70,10.40%,646,58,9.00%,70,10.80%,Y
2016-2017,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,901,105,11.70%,134,14.90%,886,104,11.70%,133,15.00%,Y
2016-2017,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,745,29,3.90%,36,4.80%,745,29,3.90%,36,4.80%,Y
2016-2017,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,630,16,2.50%,17,2.70%,618,16,2.60%,17,2.80%,Y
2016-2017,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,908,106,11.70%,148,16.30%,886,106,12.00%,148,16.70%,Y
2016-2017,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,598,88,14.70%,134,22.40%,598,88,14.70%,134,22.40%,Y
2016-2017,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,947,47,5.00%,55,5.80%,933,47,5.00%,55,5.90%,Y
2016-2017,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,836,34,4.10%,40,4.80%,820,33,4.00%,39,4.80%,Y
2016-2017,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,1011,28,2.80%,38,3.80%,1011,28,2.80%,38,3.80%,Y
2016-2017,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,75,13,17.30%,14,18.70%,51,13,25.50%,13,25.50%,Y
2016-2017,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Yes,684,Directly funded,Y,9,12,578,221,38.20%,346,59.90%,564,213,37.80%,334,59.20%,Y
